Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10u","C_0603_1608Metric",118.550000,-99.825000,180.000000,top
"C2","100n","C_0402_1005Metric",131.900000,-111.925000,-90.000000,top
"C3","100n","C_0402_1005Metric",133.175000,-99.800000,90.000000,top
"C4","100n","C_0402_1005Metric",123.825000,-97.650000,0.000000,top
"C5","100n","C_0402_1005Metric",124.350000,-112.475000,180.000000,top
"C6","100n","C_0402_1005Metric",121.450000,-99.395000,90.000000,top
"C7","100n","C_0402_1005Metric",119.900000,-106.800000,90.000000,top
"C8","100n","C_0402_1005Metric",118.900000,-106.800000,90.000000,top
"C9","1u","C_0402_1005Metric",116.100000,-105.445000,90.000000,top
"C10","10u","C_0603_1608Metric",134.150000,-120.700000,0.000000,top
"C11","100n","C_0402_1005Metric",142.800000,-126.050000,-90.000000,top
"C12","100n","C_0402_1005Metric",139.970000,-134.525000,180.000000,top
"C13","100n","C_0402_1005Metric",131.075000,-125.530000,90.000000,top
"C14","100n","C_0402_1005Metric",134.570000,-123.025000,0.000000,top
"C15","100n","C_0402_1005Metric",131.050000,-129.580000,90.000000,top
"C16","100n","C_0402_1005Metric",130.075000,-129.560000,90.000000,top
"C17","1u","C_0402_1005Metric",125.245000,-130.350000,180.000000,top
"C18","100n","C_0402_1005Metric",119.400000,-105.200000,180.000000,top
"C19","100n","C_0402_1005Metric",128.545000,-128.150000,180.000000,top
"C20","10p","C_0402_1005Metric",114.600000,-101.225000,-45.000000,top
"C21","10p","C_0402_1005Metric",110.600000,-105.150000,135.000000,top
"C22","10p","C_0402_1005Metric",128.000000,-123.825000,-45.000000,top
"C23","10p","C_0402_1005Metric",124.200000,-127.775000,135.000000,top
"C24","2u2","C_0402_1005Metric",129.900000,-112.500000,180.000000,top
"C25","2u2","C_0402_1005Metric",135.075000,-101.625000,0.000000,top
"C26","100n","C_0402_1005Metric",143.975000,-113.955000,90.000000,top
"C27","2u2","C_0402_1005Metric",142.400000,-113.930000,90.000000,top
"C28","10n","C_0402_1005Metric",144.650000,-103.925000,-90.000000,top
"C29","100n","C_0402_1005Metric",142.320000,-99.500000,180.000000,top
"C30","2u2","C_0402_1005Metric",142.345000,-98.200000,180.000000,top
"C31","10n","C_0402_1005Metric",144.625000,-115.855000,-90.000000,top
"C32","0.47u","C_0603_1608Metric",145.925000,-101.150000,180.000000,top
"C33","100n","C_0402_1005Metric",147.525000,-115.830000,-90.000000,top
"C34","100n","C_0402_1005Metric",154.430000,-135.075000,180.000000,top
"C35","100n","C_0402_1005Metric",152.025000,-133.575000,-90.000000,top
"C36","100n","C_0402_1005Metric",158.600000,-94.455000,-90.000000,top
"C37","4u7","C_0603_1608Metric",157.400000,-133.890000,-90.000000,top
"C38","10u","C_0603_1608Metric",102.172500,-89.575000,180.000000,top
"C39","22u","C_0805_2012Metric",103.175000,-78.375000,0.000000,top
"C40","10u","C_0603_1608Metric",104.125000,-70.475000,180.000000,top
"C41","22u","C_0805_2012Metric",102.625000,-58.475000,90.000000,top
"C42","100n","C_0402_1005Metric",122.860000,-89.525000,-90.000000,top
"C43","47u","C_0805_2012Metric",135.825000,-95.170000,90.000000,top
"C44","100n","C_0402_1005Metric",137.525000,-95.145000,90.000000,top
"C45","47u","C_0805_2012Metric",107.575000,-57.425000,-90.000000,top
"C46","100n","C_0402_1005Metric",105.550000,-58.030000,-90.000000,top
"C47","10n","C_0402_1005Metric",119.675000,-63.675000,90.000000,top
"C48","220u","CP_Elec_8x10.5",119.000000,-74.025000,180.000000,top
"C49","10u","C_0603_1608Metric",130.475000,-66.200000,-90.000000,top
"C50","47u","C_0805_2012Metric",128.060000,-80.825000,0.000000,top
"C51","100n","C_0402_1005Metric",128.230000,-82.800000,0.000000,top
"C52","47u","C_0805_2012Metric",110.935000,-66.425000,90.000000,top
"C53","100n","C_0402_1005Metric",112.900000,-65.905000,90.000000,top
"D1","RED","LED_0805_2012Metric",102.750000,-72.900000,0.000000,top
