,Reference designator,Value,Package,LCSC Part #,MPN,Manufacturer ,Description,Cost,
,"C24, C25, C27, C30 ",2.2 uF,402,C107369,CL05A225KP5NSNC,Samsung Electro-Mechanics,2.2uF 10V X5R ceramic cap,0.0042,
,"C1, C10, C38, C40, C49",10uF,603,C19702,CL10A106KP8NNNC,Samsung Electro-Mechanics,CAP CER 10uF 10V X5R 0603,0.0125,
,"C2, C3, C4, C5, C6, C7, C8, C11, C12, C13, C14, C15, C16, C18, C19, C26, C29, C33-C36, C42, C44, C46, C51, C53",100nF,402,C1525,CL05B104KO5NNNC,Samsung Electro-Mechanics,CAP CER 100nF 16V X7R 0402,0.16,
," C9, C17",1uF,402,C29266,CL05A105KO5NNNC,Samsung Electro-Mechanics,CAP CER 1uF 16V X5R 0402,0.35,
,"C20, C21, C22, C23",10pF,402,C32949,CL05C100JB5NNNC,Samsung Electro-Mechanics,CAP CER 10pF 50V C0G 0402,0.24,
,"C28, C31, C47",10nF,402,C15195,CL05B103KB5NNNC,Samsung Electro-Mechanics,CAP CER 10nF 50V X7R 0402,0.16,
,C32,0.47uF,603,C1623,CL10B474KA8NNNC,Samsung Electro-Mechanics,CAP CER 470nF 25V X7R 0603,0.74,
,C37,4.7uF,603,C19666,CL10A475KO8NNNC,Samsung Electro-Mechanics,CAP CER 4.7uF 16V X5R 0603,0.12,
," C39, C41",22uF,805,C5674,CL21A226MQQNNNE,Samsung Electro-Mechanics,CAP CER 22uF 6.3V X5R 0805,0.28,
,"C43, C45, C50, C52",47uF,805,C16780,CL21A476MQYNNNE,Samsung Electro-Mechanics,CAP CER 47uF 6.3V X5R 0805,0.56,
,C48,220uF,"SMD,D8xL10.5mm",C48935405,RVE35V220M8X10,JIERR,CAP ALUM 220uF ±20% 35V SMD,0.41,
,D1 ,RED,805,C19171391,YLED0805R,YONGYUTAI,LED RED 0805 SMD,0.82,
,D2,B340,SMA(DO-214AC),C908680,SS34,GOODWORK,DIODE SCHOTTKY 40V SMA(DO-214AC),0.53,
,"FB1, FB2",120 ohm,603,C14709,BLM18PG121SN1D,muRata,FERRITE BEAD 120Ω 0603 1LN,0.74,
,J1,connector,"Through Hole,P=2.54mm",C32713270,HX PZ2.54-1x4P ZZ,hanxia,CONN HEADER 4POS 2.54mm SINGLE ROW TH,0.13,
,J2,connector,"Through Hole,P=2.54mm",C32713277,HX PZ2.54-2x4P ZZ,hanxia,CONN HEADER 8POS 2.54mm DUAL ROW TH,0.6,
,J4,connector,"Through Hole,P=2.54mm",C32713270,HX PZ2.54-1x4P ZZ,hanxia,CONN HEADER 4POS 2.54mm SINGLE ROW TH,0.13,
,J5,connector,"Through Hole,P=1.27mm",C41426986,A127M01-0B10P51-H10A39,JXTCONN,CONN HEADER 10POS DUAL ROW TH,0.38,
,L1,15uH,"2512 SMD,7x6.6mm",C5349699,APH0630T150M,APV,"FIXED IND 15uH 3A 113mΩ SMD,7x6.6mm",0.4,
,Q1,20V 350mA NPN transistor,SOT-23,C916372,MMBT2222A,JSMSEMI,TRANS NPN 20V 350mA SOT-23,0.56,
,"R1, R2, R3, R4, R5, R6, R7, R8, R9, R19, R20, R23",10k,603,C2930027,FRC0603J103 TS,FOJAN,RES 10kΩ ±5% 100mW 0603,0.14,
,"R10, R11",4.7k,603,C99782,RC0603FR-074K7L,YAGEO,RES 4.7kΩ ±1% 100mW 0603,0.23,
,"R12, R13, R14, R15, R16, R17",1.8 ohm,603,C2907087,FRC0603J1R8 TS,FOJAN,RES 1.8Ω ±5% 100mW 0603,0.2,
,R18,1k,402,C852624,RT0402BRD071KL,YAGEO,RES 1kΩ ±0.1% 62.5mW 0402,1,
,R21,3.3k,402,C482167,CRCW04023K30FKED,VISHAY,RES 3.3kΩ ±1% 63mW 0402,0.4,
,R22,2m,2512,C2994640,HoLLR2512-3W-2mR-1%,Milliohm,RES 2mΩ ±1% 3W 2512,0.33,
,R24,3.24k,402,C3972407,CRCW04023K24FKED,VISHAY,RES 3.24kΩ ±1% 62.5mW 0402,0.42,
,U1,STM32F405RGTx,LQFP-64(10x10),C1337199,STM32F405RGT7,ST,Arm Cortex - M4 32b,12.83,
,U2,STM32F103C8Tx,LQFP-48(7x7),C8734,STM32F103C8T6,ST,Arm-Based 32b ,1.44,
,U3,ICM-20689,QFN-24-EP(4x4),C2649494,ICM-20689,TDK InvenSense,6-axis MEMS motion tracking,16.5,
,U4,ICM-20602,LGA-16(3x3),C97633,ICM-20602,TDK InvenSense,6-Axis MEMS motion tracking ,16.5,Not available rn
,U5,MS5611-01BA,QFN-8(3x5),C15639,MS561101BA03-50,TE Connectivity,Barometric preassure sensor,7.11,Not available rn
,U6,IST8310,LGA-16(3x3),C2683055,IST8310,iSentek,3D Magnetometer,5.63,"U5 MS5611 footprint may have minor QFN vs LGA package discrepancy, please verify pad alignment."
,"U7, U8",AMS1117-3.3,SOT-223,C5205141,AMS1117-3.3V,JSMSEMI,800mA Bipolar Linear Regulator,0.4,
,U9,INA226,VSOP-10,C49851,INA226AIDGSR,TI,Bi-Directional CURRENT/POWER MONITOR with I2C Interface,0.79,
,U10,TPS5430DDA,SOIC-8-EP,C9864,TPS5430DDAR,TI,"3-A, Wide Input Range, Step-Down Converter",0.81,
,"Y1, Y2",16MHz,SMD3225-4P,C13738,X322516MLB4SI,YXC Crystal Oscillators,CRYSTAL 16MHz 9pF SMD,0.49,
,J3,connector ,AMASS XT60PW-F 1x02 P7.20mm Horizontal,C428722,XT60PW-F,Changzhou Amass Elec,Power Connectors ,0.64,
,,,,,,,,,
